route_id,route_type
1,3
10,3
100,3
101,3
102,3
104,3
105,3
106,3
107,3
108,3
109,3
11,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
12,3
120,3
121,3
122,3
123,3
125,3
126,3
127,3
128,3
129,3
13,3
130,3
131,3
132,3
133,3
134,3
135,3
14,3
15,3
154,3
16,3
160,3
161,3
162,3
165,3
167,3
168,3
169,3
17,3
171,3
184,3
185,3
189,3
19,3
2,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
28,3
29,3
3,3
30,3
300,3
301,0
302,3
303,0
304,0
305,0
306,0
307,3
31,3
310,0
312,0
315,3
32,3
320,3
322,3
324,3
325,3
329,3
33,3
332,3
334,3
335,3
336,3
337,3
339,3
34,3
340,3
341,3
343,3
35,3
352,3
353,3
354,3
36,3
363,3
365,3
37,3
38,3
384,3
385,3
39,3
395,3
396,3
4,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
501,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
51,3
510,0
511,0
512,0
52,3
53,3
54,3
55,3
56,3
57,3
59,3
60,3
601,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
7,3
70,3
701,3
705,0
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
8,3
80,3
801,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
899,3
9,3
90,3
900,3
902,3
903,3
904,3
905,3
91,3
92,3
924,3
925,3
927,3
929,3
93,3
935,3
937,3
938,3
939,3
94,3
941,3
944,3
945,3
95,3
952,3
953,3
954,3
96,3
960,3
968,3
97,3
98,3
984,3
985,3
986,3
989,3
99,3
995,3
996,3
999,3
